"35","1545 Peachtree St. NE, ATLANTA, GA, 30309","Tie"
"36","171 17th St., ATLANTA, GA, 30363","No_Match"
"229","1099 Euclid Ave. NE, ATLANTA, GA, 30307","Match","Exact","1099 EUCLID AVE NE, ATLANTA, GA, 30307","-84.34956,33.765125","17357968","R"
"187","156 Heaton Park Dr. NE, ATLANTA, GA, 30307","Match","Exact","156 HEATON PARK DR NE, ATLANTA, GA, 30307","-84.31711,33.779064","632649696","L"
"189","701 Kirkwood Ave. SE, ATLANTA, GA, 30316","Match","Exact","701 KIRKWOOD AVE SE, ATLANTA, GA, 30316","-84.36473,33.75032","17357746","R"
"180","65 Martin Luther King Jr. Dr. SE, ATLANTA, GA, 30334","Match","Non_Exact","65 MARTIN LUTHER KING JR DR SE, ATLANTA, GA, 30312","-84.38461,33.748066","17344775","R"
"10","84 Luckie St. NW, ATLANTA, GA, 30303","Match","Exact","84 LUCKIE ST NW, ATLANTA, GA, 30303","-84.3893,33.75705","17344499","L"
"181","1205 Johnson Ferry Rd., MARIETTA, GA, 30068","Match","Exact","1205 JOHNSON FERRY RD, MARIETTA, GA, 30068","-84.4192,33.97867","17255677","L"
"182","4945 High Point Rd., SANDY SPRINGS, GA, 30342","Match","Non_Exact","4945 HIGH POINT RD NE, SANDY SPGS, GA, 30342","-84.367714,33.88929","17416933","R"
"183","1197 Peachtree St. NE, ATLANTA, GA, 30361","No_Match"
"184","800 Cherokee Ave. SE, ATLANTA, GA, 30315","No_Match"
"185","72 Marietta St., ATLANTA, GA, 30303","Match","Exact","72 MARIETTA ST, ATLANTA, GA, 30303","-84.39136,33.755634","17344117","L"
"186","3110 Roswell Rd., ATLANTA, GA, 30305","Match","Exact","3110 ROSWELL RD, ATLANTA, GA, 30305","-84.37942,33.840458","17416307","L"
"116","6110 Bluestone Rd., SANDY SPRINGS, GA, 30328","Match","Non_Exact","6110 BLUE STONE RD NE, SANDY SPGS, GA, 30328","-84.38193,33.92175","17333239","L"
"79","117 North Park Square, MARIETTA, GA, 30060","Match","Exact","117 N PARK SQ, MARIETTA, GA, 30060","-84.54948,33.953243","17176015","L"
"117","607 Peachtree St. NE, ATLANTA, GA, 30308","Match","Non_Exact","607 PEACHTREE ST, ATLANTA, GA, 30308","-84.38498,33.771423","17343688","R"
"78","18 Whitlock Ave. NW, MARIETTA, GA, 30064","Match","Exact","18 WHITLOCK AVE NW, MARIETTA, GA, 30064","-84.55329,33.952255","17254806","R"
"114","999 Brady Ave., ATLANTA, GA, 30318","Match","Non_Exact","999 BRADY AVE NW, ATLANTA, GA, 30318","-84.41357,33.782288","17342001","R"
"77","1804 North Decatur Rd., ATLANTA, GA, 30322","Match","Exact","1804 N DECATUR RD, ATLANTA, GA, 30322","-84.31728,33.79061","23366157","L"
"115","139 Sycamore St., DECATUR, GA, 30030","Match","Exact","139 SYCAMORE ST, DECATUR, GA, 30030","-84.29563,33.774593","624307363","R"
"112","425 Peachtree Hills Ave., ATLANTA, GA, 30305","Match","Non_Exact","425 PEACHTREE HILLS AVE NE, ATLANTA, GA, 30305","-84.3734,33.819405","618349374","R"
"113","3330 Sandy Plains Rd., MARIETTA, GA, 30066","Match","Exact","3330 SANDY PLAINS RD, MARIETTA, GA, 30066","-84.46749,34.030796","614187002","R"
"110","605 Asbury Circle NE, ATLANTA, GA, 30322","Match","Non_Exact","605 ASBURY CIR, ATLANTA, GA, 30322","-84.32424,33.794388","640580173","R"
"111","91 Broad St. SW, ATLANTA, GA, 30303","Match","Exact","91 BROAD ST SW, ATLANTA, GA, 30303","-84.39297,33.752262","17344300","R"
"118","1100 Howell Mill Rd. NW, ATLANTA, GA, 30318","Match","Non_Exact","1100 HOWELL MILL RD, ATLANTA, GA, 30318","-84.41188,33.78456","17341994","L"
"119","6905 Virlyn B. Smith Rd., FAIRBURN, GA, 30213","Match","Exact","6905 VIRLYN B SMITH RD, FAIRBURN, GA, 30213","-84.6152,33.571857","641891216","R"
"82","7300 Reinhardt Circle, WALESKA, GA, 30183","No_Match"
"83","1280 Peachtree St. NE, ATLANTA, GA, 30309","Match","Non_Exact","1280 PEACHTREE ST, ATLANTA, GA, 30309","-84.384384,33.7894","638967765","L"
"80","1280 Peachtree St. NE, ATLANTA, GA, 30309","Match","Non_Exact","1280 PEACHTREE ST, ATLANTA, GA, 30309","-84.384384,33.7894","638967765","L"
"81","5920 Roswell Rd., SANDY SPRINGS, GA, 30328","Match","Exact","5920 ROSWELL RD, SANDY SPGS, GA, 30328","-84.379196,33.91674","17333327","L"
"86","575 Riverside Rd., ROSWELL, GA, 30075","Match","Exact","575 RIVERSIDE RD, ROSWELL, GA, 30075","-84.34744,34.00707","17352511","R"
"87",", ATLANTA, GA, 30303","No_Match"
"84","1404 Spring St. NW, ATLANTA, GA, 30309","Match","Exact","1404 SPRING ST NW, ATLANTA, GA, 30309","-84.38916,33.79301","618354218","L"
"85","1105 Euclid Ave. NE, ATLANTA, GA, 30307","Match","Exact","1105 EUCLID AVE NE, ATLANTA, GA, 30307","-84.34953,33.76515","17357968","R"
"67","3500 Peachtree Rd. NE, ATLANTA, GA, 30326","Match","Non_Exact","3500 PEACHTREE RD, ATLANTA, GA, 30326","-84.36094,33.85185","642888760","L"
"125","4645 Butner Rd, COLLEGE PARK, GA, 30349","Match","Exact","4645 BUTNER RD, COLLEGE PARK, GA, 30349","-84.598724,33.65144","17332322","R"
